,station_name,Latitude,longitude,from06_to10,from10_to14,from14_to18,from18_to22,from22_to02,from02_to06
227,청담,37.518829600000004,127.0503482,78351.75,31607.25,45995.25,58804.25,4206.0,1354.25
228,춘의,37.5037314,126.7872014,40150.25,13043.25,20439.25,30845.25,2822.25,1373.5
229,하계,37.6360179,127.068252,55224.0,32964.25,41355.75,48596.25,6388.0,2075.75
230,학동,37.5139566,127.03075,93712.0,35212.5,50054.0,76536.5,4932.75,1032.0
231,강동구청,37.530694200000006,127.12062340000001,36909.75,18806.25,25022.5,30978.0,3265.5,1241.0
232,남한산성입구,37.451553100000005,127.1598132,47130.75,24322.5,30567.25,36988.0,4676.0,2508.5
233,단대오거리,37.4450845,127.1567783,33989.25,18044.0,24685.25,29860.0,3641.0,2227.75
234,모란,37.4337388,127.1291547,10046.75,9879.0,12749.0,8924.25,1081.25,513.5
235,몽촌토성,37.522740899999995,127.11871140000001,18517.0,10102.0,14523.75,15794.5,1790.0,543.0
236,문정,37.4858358,127.12251840000002,82301.75,29695.25,47816.75,64685.0,4530.0,1071.5
237,복정,37.470875299999996,127.1266959,31711.0,16398.75,23254.25,29066.5,3262.25,1558.0
238,산성,37.45653866,127.1499404,22678.75,13065.5,16713.25,20259.75,2761.5,1302.0
239,석촌,37.505295399999994,127.1071105,22723.75,16545.25,22232.75,23783.75,2622.25,835.25
240,송파,37.49986810000001,127.11206840000001,25216.25,15148.25,19779.25,22567.5,2352.5,666.0
241,수진,37.43770362,127.1409693,16005.0,10725.25,13207.5,13118.0,1830.5,963.25
242,신흥,37.4410027,127.14766409999999,13292.5,9978.0,14158.0,13827.5,1726.5,1025.75
243,암사,37.5501059,127.1275385,64306.0,30743.75,40677.25,53067.5,5931.5,3452.75
244,장지,37.4788881,127.12606699999999,55065.0,31202.0,43424.0,52143.25,5401.0,1581.0
245,가양,37.5610584,126.85507379999999,62229.75,36641.75,47704.25,58414.25,6458.25,3496.0
246,개화,37.562051700000005,126.98190659999999,8483.75,3198.0,4538.75,5947.75,528.0,436.5
247,공항시장,37.5633976,126.81046119999999,7981.5,6432.25,8049.75,8815.0,1354.25,772.0
248,구반포,37.501289899999996,126.98678490000002,6649.0,5872.75,7563.5,7589.0,740.0,153.0
249,국회의사당,37.52816203,126.9177672,56688.0,20720.0,34797.75,42912.75,2576.25,549.75
250,노들,37.51423298,126.95221299999999,12474.25,8023.5,10173.75,11639.75,1477.0,782.5
251,노량진,37.5142554,126.94276289999999,69849.25,43928.0,58592.25,69801.0,8376.0,3714.5
252,등촌,37.5511895,126.86457079999998,33545.5,19940.75,27335.25,31313.75,3595.25,1306.5
253,마곡나루,37.56630870000001,126.82767659999999,31249.0,16290.0,24349.75,33289.5,3598.5,908.75
254,사평,37.5042952,127.0151398,8763.5,5574.5,8113.75,7929.25,693.5,199.5
255,샛강,37.51681088,126.92880430000001,17343.5,8651.75,13361.25,15765.0,1167.25,423.25
256,선유도,37.537880799999996,126.8939797,25470.0,10864.0,16253.75,22170.5,1847.0,563.5
257,신논현,37.5044775,127.02459520000001,73501.75,57666.0,78152.0,92100.0,7726.0,990.25
258,신목동,37.544227,126.8831853,12103.0,5755.0,7776.0,10149.25,1265.25,438.5
259,신반포,37.503601399999994,126.99641799999999,9052.25,5275.25,8476.0,7201.25,677.75,199.25
260,신방화,37.5675245,126.81665559999999,20844.5,12431.0,16076.25,19279.75,2441.5,1126.25
261,양천향교,37.5684614,126.8412443,30554.25,15456.5,21487.0,28464.5,3278.25,1141.25
262,염창,37.5469959,126.8753747,54717.75,26651.25,36145.75,53885.5,6317.5,2502.5
263,증미,37.5569504,126.86280390000002,23792.0,12473.75,17215.75,22473.75,1831.75,641.0
264,흑석,37.5083823,126.9639489,20443.25,17267.0,23035.5,20354.0,2547.0,892.75
265,둔촌오륜,37.519889299999996,127.138351,3753.5,1910.75,2704.25,2229.5,291.5,91.0
266,봉은사,37.5151321,127.05679440000002,44897.0,26031.0,38367.25,44530.25,2735.75,534.25
267,삼성중앙,37.5130955,127.0534747,21734.75,10360.25,15336.25,19972.25,1476.5,241.0
268,삼전,37.5045347,127.0872078,19518.75,11392.75,15305.5,20401.5,2709.0,850.75
269,석촌고분,37.5024441,127.0966143,17462.5,10089.0,13419.0,18046.25,2200.0,510.0
270,선정릉,37.5107312,127.0436945,30252.0,15797.25,20907.0,28273.25,2499.0,387.5
271,송파나루,37.511245,127.11279540000001,12876.5,8238.75,11222.5,14195.0,1618.75,440.25
272,언주,37.507321000000005,127.0338746,30229.0,18033.25,24742.25,28017.0,2480.0,460.25
273,중앙보훈병원,37.52970065,127.1477297,30177.75,19622.5,21267.25,19230.0,2316.0,585.25
274,한성백제,37.5167383,127.11624199999999,6684.5,4196.5,5774.0,6120.25,737.0,162.25
275,경기광주,37.3989287,127.2532479,23380.75,10552.25,14255.5,20664.25,1769.0,553.0
276,곤지암,37.349678600000004,127.3387125,6656.0,3624.0,5571.0,5640.25,604.5,149.5
277,부발,37.26065909,127.4903676,5140.75,3222.75,4999.25,5091.5,950.75,161.5
278,삼동,37.40920168,127.20348429999999,8338.0,3146.75,4676.0,6566.0,574.25,223.25
279,세종대왕릉,37.2936234,127.57064709999999,754.0,565.0,788.75,546.5,67.0,33.0
280,신둔도예촌,37.315548299999996,127.405293,3667.5,1962.0,2833.75,3101.5,359.5,136.5
